trial,strategy,finalScore,trainScore,testScore,lookback,maxRangePct,minBodyToMedian,minVolToAvg,breakoutBuf,stopBuf,camMinPrice,camMaxPrice,camMinGapPct,camMinDayGainPct,camMinRvol,camPullbackBars,camMaxPullbackPct,camStopCents,camRoundBreakDist,emMinPrice,emMaxPrice,emMinGapPct,emMinPremarketVol,emMinRvol,emPoleBars,emMinPolePct,emFlagBars,emMaxFlagRetrace,emEntryBufCents,emStopBufCents,revLookback,revRangePct,revPivot,revSwings,revMaxBarsAfterLow,revMinGreenBody,revMinLowerWick,revEntryBufPct,revStopBufPct,revMinBullRunPct,revTakeProfitPct,fillBars,entryBuf,tpR,trainFilled,trainAvgR,trainPF,trainDDPct,trainTotalPnl,trainWinRate,testFilled,testAvgR,testPF,testDDPct,testTotalPnl,testWinRate
28,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,33,0.04665719635628965,2,5,5,1.8197952353022044,0.3628410058854338,0.000399395195021944,0.0002090268201236739,0.04686929311923185,0.7503353968497065,1,0.0007980873420825630,,0,0,0,0,0,0,0,0,0,0,0,0
29,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,71,0.03269014382860165,2,6,5,1.8659254522369826,0.3816855304323536,0.000468156451577394,0.000701896716236088,0.04260196877298970,0.745835459253674,3,0.0012766716141610740,,0,0,0,0,0,0,0,0,0,0,0,0
30,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,40,0.06615758349940070,5,6,4,1.2043954854851564,0.3040466792900333,0.000634765839499778,0.000411721185041463,0.03010639816061890,0.7062539583101189,3,0.0001795749197153265,,0,0,0,0,0,0,0,0,0,0,0,0
31,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,36,0.02892782949792585,4,4,2,1.6782068213812109,0.4600300679728529,0.000999379517044584,0.001718887054230498,0.04813585789787390,0.7146055460975531,3,0.0014553054836370540,,0,0,0,0,0,0,0,0,0,0,0,0
32,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0.024017187470578210,2,6,5,1.3465330963705352,0.3191932412885099,0.000278168730567288,0.001802681694646683,0.04098258414817165,0.6308584598502416,4,0.00001872370346389890,,0,0,0,0,0,0,0,0,0,0,0,0
33,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,66,0.05304990340631915,2,5,5,1.3850710235466581,0.4272665538952064,0.001506390386031192,0.002142926634821541,0.03135309224079970,0.662189877714119,16,0.0006358231772369820,,0,0,0,0,0,0,0,0,0,0,0,0
34,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,39,0.03205076068269590,3,5,1,1.14333581991649034,0.4368338118478814,0.001509399475301336,0.002414326640038902,0.02332392574442735,0.5318368188253775,6,0.0007815351173195685,,0,0,0,0,0,0,0,0,0,0,0,0
35,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,51,0.05627257963468905,5,5,3,1.3315253905167455,0.2851318233111557,0.000431349576651748,0.002771987054390826,0.0202884412558230,0.5855043350651414,19,0.0013665633668967360,,0,0,0,0,0,0,0,0,0,0,0,0
36,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,50,0.03781421001898785,2,5,4,1.7035645381564106,0.21702811499919188,0.000914444867016024,0.0002907784666357461,0.01781477953205575,0.736297914309566,20,0.0006888257563993455,,0,0,0,0,0,0,0,0,0,0,0,0
37,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,49,0.0388472073845785,3,6,2,1.1976973209985052,0.3110687497123466,0.000661303003626552,0.002709474149956122,0.011605179347845345,0.7317688835467067,4,0.001302235406731365,,0,0,0,0,0,0,0,0,0,0,0,0
38,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,44,0.04500149480765755,2,4,1,1.15976918063115758,0.4159581258501662,0.000498784534865424,0.001948634017234962,0.0316580919556590,0.6613073824724684,5,0.0009197949154394655,,0,0,0,0,0,0,0,0,0,0,0,0
39,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,52,0.03199584939144360,2,4,3,1.2736752801452183,0.3682543518805199,0.0001993754721243752,0.002607619436275038,0.05534142983394740,0.7873676171001827,1,0.0012168739078179345,,0,0,0,0,0,0,0,0,0,0,0,0
40,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,38,0.04679133244175060,4,4,2,1.5000009658280768,0.3255281553256922,0.00157024993354932,0.001161734318436,0.03783652435887445,0.5747045311027694,17,0.0001815738031554840,,0,0,0,0,0,0,0,0,0,0,0,0
41,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,66,0.03275586223358095,2,5,5,1.7480823107753333,0.4117447413558815,0.00156264588588972,0.002019171342262611,0.0165156088939475,0.5800551571324724,12,0.000694421377356360,,0,0,0,0,0,0,0,0,0,0,0,0
42,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,59,0.05088177674491040,5,4,3,1.3252837455483545,0.2728066789325357,0.000447994233317670,0.002669844988114128,0.01920168853327710,0.7007004573944492,4,0.000163471838535495,,0,0,0,0,0,0,0,0,0,0,0,0
43,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,34,0.05947189016708725,5,3,4,1.833307286926223,0.3418217128803122,0.00089621359989802,0.001415169059492262,0.02528652974650570,0.7669588497686009,3,0.0014445694321508370,,0,0,0,0,0,0,0,0,0,0,0,0
44,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,42,0.03522495439985065,2,5,3,1.382186197108676,0.4726854544471415,0.00172246605703722,0.00259456531777725,0.05003958247603830,0.50499672950478119,20,0.0014452937815549290,,0,0,0,0,0,0,0,0,0,0,0,0
45,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,80,0.05006167017391960,5,6,1,1.5867410409668189,0.3753208396841402,0.00166960216577612,0.001880537097286683,0.0558189000588930,0.7859753898279626,13,0.0006706885158413505,,0,0,0,0,0,0,0,0,0,0,0,0
46,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,53,0.02568788154315570,2,3,2,1.890745732277048,0.2850406451081114,0.001260310022747288,0.0000375440167437978,0.05690949208890530,0.5582212363175216,8,0.001167778949564220,,0,0,0,0,0,0,0,0,0,0,0,0
47,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,48,0.03225724844832775,2,3,5,1.830274290652142,0.22255457966707394,0.001439314625896194,0.002448258130554231,0.05357528197279910,0.6653164143512567,13,0.0003519706813860555,,0,0,0,0,0,0,0,0,0,0,0,0
48,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,47,0.04731521985368580,2,5,2,1.16900752655649908,0.4635795005427578,0.001916777587456992,0.002584426708791603,0.04975969419803455,0.753917673069014,16,0.0007333300643290065,,0,0,0,0,0,0,0,0,0,0,0,0
49,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,37,0.05447999713685365,3,6,4,1.7326831679477741,0.3334272836490662,0.000585128348593194,0.000556086219640488,0.02696289149902895,0.676115865714902,8,0.001391597771035320,,0,0,0,0,0,0,0,0,0,0,0,0
50,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,37,0.04748122449381335,4,5,2,1.5174074634059369,0.3402336668876156,0.0001545156380881162,0.001588700746460214,0.04685822099766610,0.6505729418483438,9,0.0008251031324384280,,0,0,0,0,0,0,0,0,0,0,0,0
