trial,strategy,finalScore,trainScore,testScore,lookback,maxRangePct,minBodyToMedian,minVolToAvg,breakoutBuf,stopBuf,camMinPrice,camMaxPrice,camMinGapPct,camMinDayGainPct,camMinRvol,camPullbackBars,camMaxPullbackPct,camStopCents,camRoundBreakDist,emMinPrice,emMaxPrice,emMinGapPct,emMinPremarketVol,emMinRvol,emPoleBars,emMinPolePct,emFlagBars,emMaxFlagRetrace,emEntryBufCents,emStopBufCents,fillBars,entryBuf,tpR,trainFilled,trainAvgR,trainPF,trainDDPct,trainTotalPnl,trainWinRate,testFilled,testAvgR,testPF,testDDPct,testTotalPnl,testWinRate
46,Oliver,-7147.9791120494813474854812103,-8357.660758378244683454184166,-5333.4566425563363435324267768,8,0.0169706974532318710,2.7859881929987982,1.7574215903214272,0.0003973108042950330,0.0001390843652836440,,,,,,,,,,,,,,,,,,,,,13,0.0009294775244451495,0.75,353,-0.2221730714676260275401596991,0.4703546290073095641935454207,0.2942635119274355116362810306,-7292.3692338151410133510425314,0.4532577903682719546742209632,393,-0.134285081785455778344844225,0.6283372182027715711984284872,0.1926637002353847276235832476,-4716.4491833652171912057791563,0.5038167938931297709923664122
285,Oliver,-7182.8144157413420808962535688,-8200.494468650416017502427440,-5656.2943363777311759869927620,12,0.0159581276573977170,2.1971437537098036,1.14738128150225672,0.000560695683379050,0.0002548398218373020,,,,,,,,,,,,,,,,,,,,,5,0.0005365283107555140,0.75,410,-0.1862010528991786947547887128,0.5201123091949658056403809657,0.2992730732166080500611424612,-7283.6315274072909416137818685,0.4390243902439024390243902439,459,-0.1199043340630882812789998161,0.6463640635213242801865425211,0.2094640550894715638343818885,-5086.0138805187851048757678688,0.4749455337690631808278867102
193,Oliver,-7204.6469755461177019684905905,-6474.8502778657075338248390428,-8299.342022066732954183967912,4,0.0032166439565907470,1.28467539571443366,1.27111243837099160,0.0005549303114204340,0.0002681248869132830,,,,,,,,,,,,,,,,,,,,,8,0.0009266718353269020,0.5,236,-0.3660149662948373667246426956,0.1730692885285756480106057835,0.2138559741030039543794845538,-5305.1832139857122397117868163,0.4915254237288135593220338983,333,-0.3576670319990520909638771867,0.1463049081302170753773619966,0.2874840970254059116078715699,-7173.4644566566306727533859449,0.4354354354354354354354354354
88,Oliver,-7405.8744190709373239728247098,-7577.2828239020324316773662855,-7148.7618118242946624160123463,6,0.0173137233580060940,2.245528805277090,2.0928049833480296,0.000004831340166195920,0.0006109284239872030,,,,,,,,,,,,,,,,,,,,,7,0.0003149094587727030,0.5,413,-0.1836309310686670209551634985,0.4861277497586213626909263151,0.2814448448276830876743112027,-6734.1508749080156453924546288,0.5423728813559322033898305085,423,-0.1784393010594278668515083603,0.4912469698277921729659639255,0.2564309369998180160597317325,-6369.6441692888451102687206387,0.5390070921985815602836879433
28,Oliver,-7451.8534459348441707005855243,-8869.901484366804569416096225,-5324.7813882869035726273194733,9,0.0083154480752141520,1.34841201107409408,1.9274562254675936,0.000627741563426210,0.0006706840133623610,,,,,,,,,,,,,,,,,,,,,8,0.0010490493434709720,0.75,257,-0.2853053698571586233296784711,0.325242182409838179073014344,0.3002015684438324036994932238,-7391.3788023164673811422279149,0.4007782101167315175097276265,316,-0.1465161043341296649236785671,0.545388293479088978711322026,0.1859786267616467675274330338,-4581.2372258447216736644739244,0.4778481012658227848101265823
243,Oliver,-7512.9759721193832247842927342,-8255.338895676562987702100562,-6399.4315867836135804075809924,7,0.0087311625172063580,2.7120061711929774,1.9218266733092384,0.000737006238539240,0.0004967199715304750,,,,,,,,,,,,,,,,,,,,,4,0.0013717120298518395,0.75,279,-0.2603257633287512429415633748,0.4019410584381089361895891377,0.2811379016690659472468636134,-6969.9931155788875265422312067,0.4408602150537634408602150538,325,-0.1772539873820820828935546638,0.4993253746522039351220746413,0.2210163135983913461149844256,-5525.4078399597836528746106392,0.4769230769230769230769230769
54,Oliver,-7575.9251101616363150735521146,-7970.650409055005652041656184,-6983.8371618215823096213960106,4,0.0156786959579580910,1.5212700740998938,3.183576650770184,0.0002833824918062340,0.0005000298961531510,,,,,,,,,,,,,,,,,,,,,5,0.0003795057334376055,,288,-0.235363698101090342787931519,0.5387243370223321534062741431,0.3170386255324839286198761785,-6762.1990478393902463991947858,0.2951388888888888888888888889,316,-0.2407640276571808703514104876,0.5964336150871420775050369479,0.254931738971898989320848695,-6002.6330068843847508783193253,0.3291139240506329113924050633
228,Oliver,-7581.5939424061767649253778848,-8691.362607252788964212857662,-5916.9409451362584659941582191,5,0.0138007787595506720,1.7737907641445244,3.1088915979531104,0.00009344432693600860,0.000483000945990440,,,,,,,,,,,,,,,,,,,,,9,0.0005691527203047435,0.5,299,-0.2652087950900492585843664796,0.3421268511940721537250893244,0.2984347813714690093975701226,-7413.3264370313989728284132576,0.4916387959866220735785953177,275,-0.2157651742915517732643668555,0.433637744114589036241402822,0.2005354920947607017476086728,-4983.0686076985528219949545364,0.5418181818181818181818181818
252,Oliver,-7682.9203293449236621224356549,-7914.0805746038600594882908247,-7336.1799614565190660736529003,18,0.0171914286591072720,1.29206802392940414,1.3382648513830568,0.00034542821829460,0.0004527995108872650,,,,,,,,,,,,,,,,,,,,,16,0.0011905777373772945,0.75,291,-0.2217470381691014729568136295,0.3761898719889856212547868926,0.2693084826846245332689232686,-6726.3124446715460174754554501,0.3711340206185567010309278351,360,-0.1732724965515003133508921413,0.4654620809774997530468492239,0.258211668737313962065398168,-6418.9885890390704605469867833,0.4055555555555555555555555556
121,Oliver,-7691.4933291567647077296226242,-10095.966003911068810141192309,-4084.7843170253085541122680969,6,0.0175765041800106470,2.9530721221831956,1.6666917207495728,0.0004644032826015740,0.0007173466317902070,,,,,,,,,,,,,,,,,,,,,5,0.0006710139495185640,1.0,400,-0.2469523137802014471185311654,0.4836051786560129356817427497,0.3621145096156693648995759958,-8940.243883136500263740659785,0.4125,435,-0.1025900244063746145751330409,0.7584413107171732085617246605,0.1508112535819147883749892869,-3654.2946024440391474046874950,0.4735632183908045977011494253
